# Hume rows of the National Freight Data Hub's National Formal Rest Areas file,
# with this study's decision on each. Derived subset; see PROVENANCE.md.
source_id,name,state,road_name,locality,direction_of_travel,site_type,heavy_vehicle_area,latitude,longitude,included,reason_excluded,assumed_bays,bays_basis
16505,Lerida Creek Truck Parking Bay,NSW,HUME HIGHWAY,UPPER LACHLAN SHIRE,Westbound,Parking Area Heavy Rest Areas,Y,-34.813350,149.322930,Y,,5,estimate: every such site is named a Truck Parking Bay; sized as Class 5
16527,Windmills Rest Area Northbound,NSW,HUME HIGHWAY,UPPER LACHLAN SHIRE,Eastbound,Class 5 Heavy Vehicle Rest Area,Y,-34.822480,149.399100,N,serves the other direction (Eastbound),0,
16549,Mundoonan Rest Area Southbound,NSW,HUME HIGHWAY,UPPER LACHLAN SHIRE,Westbound,Class 1 Heavy Vehicle Rest Area,Y,-34.815900,149.109550,Y,,20,Austroads AP-R591-19 Table 4.1 minimum
16572,Yass Valley Rest Area,NSW,HUME HIGHWAY,YASS VALLEY,Both Directions,Light Vehicle Only Rest Area,Y,-34.837290,149.013380,N,type says light vehicles only (whatever the flag says),0,
16593,Mundoonan Rest Area Northbound,NSW,HUME HIGHWAY,UPPER LACHLAN SHIRE,Eastbound,Class 2 Heavy Vehicle Rest Area,Y,-34.824660,149.075230,N,serves the other direction (Eastbound),0,
16616,Reardons Road Stopping Bay,NSW,HUME HIGHWAY,YASS VALLEY,Both Directions,Informal Heavy Rest Areas,Y,-34.835030,149.023060,Y,,2,"estimate: an informal pull-off, no design minimum exists"
16637,Manton Ridge Rest Area,NSW,HUME HIGHWAY,YASS VALLEY,Eastbound,Class 5 Heavy Vehicle Rest Area,Y,-34.832070,148.985420,N,serves the other direction (Eastbound),0,
16659,Derringullen Creek Rest Area,NSW,HUME HIGHWAY,YASS VALLEY,Westbound,Light Vehicle Only Rest Area,Y,-34.794360,148.868700,N,type says light vehicles only (whatever the flag says),0,
16681,Bowning Stopping Bay Eastbound,NSW,HUME HIGHWAY,YASS VALLEY,Eastbound,Green Reflector Sites,Y,-34.789040,148.859100,N,serves the other direction (Eastbound),0,
16727,McGarths One Tree Rest Area,NSW,HUME HIGHWAY,YASS VALLEY,Southbound,Class 5 Heavy Vehicle Rest Area,Y,-34.778670,148.841430,Y,,5,Austroads AP-R591-19 Table 4.1 minimum
16749,Bookham Rest Area,NSW,HUME HIGHWAY,YASS VALLEY,Both Directions,Light Vehicle Only Rest Area,Y,-34.813300,148.641800,N,type says light vehicles only (whatever the flag says),0,
16771,Gowlands Stopping Bay,NSW,HUME HIGHWAY,HILLTOPS,Westbound,Informal Heavy Rest Areas,Y,-34.805200,148.564020,Y,,2,"estimate: an informal pull-off, no design minimum exists"
16793,Connors Creek Truck Parking Bay Northbound,NSW,HUME HIGHWAY,YASS VALLEY,Eastbound,Parking Area Heavy Rest Areas,Y,-34.810400,148.621570,N,serves the other direction (Eastbound),0,
16815,Reddy Creek Truck Parking Bay Southbound,NSW,HUME HIGHWAY,HILLTOPS,Westbound,Parking Area Heavy Rest Areas,Y,-34.806320,148.472910,Y,,5,estimate: every such site is named a Truck Parking Bay; sized as Class 5
16837,Steam Engine Hill Truck Parking Bay Northbound,NSW,HUME HIGHWAY,HILLTOPS,Northbound,Parking Area Heavy Rest Areas,Y,-34.815930,148.435150,N,serves the other direction (Northbound),0,
16859,Jugiong Hill Rest Area,NSW,HUME HIGHWAY,HILLTOPS,Eastbound,Class 5 Heavy Vehicle Rest Area,Y,-34.827870,148.312290,N,serves the other direction (Eastbound),0,
16882,Big Ben Creek Rest Area Westbound,NSW,HUME HIGHWAY,COOTAMUNDRA-GUNDAGAI REGIONAL,Westbound,Other Rest Area,Y,-35.108380,148.057180,Y,,5,"estimate: type unstated, heavy vehicles flagged; sized as the smallest designed class"
16903,Tumblong Truck Parking Bay,NSW,HUME HIGHWAY,COOTAMUNDRA-GUNDAGAI REGIONAL,Westbound,Parking Area Heavy Rest Areas,Y,-35.135290,148.010530,Y,,5,estimate: every such site is named a Truck Parking Bay; sized as Class 5
16927,Tumblong Rest Area,NSW,HUME HIGHWAY,COOTAMUNDRA-GUNDAGAI REGIONAL,Westbound,Light Vehicle Only Rest Area,Y,-35.136170,148.009280,N,type says light vehicles only (whatever the flag says),0,
16949,Big Ben Creek Truck Parking Bay Eastbound,NSW,HUME HIGHWAY,COOTAMUNDRA-GUNDAGAI REGIONAL,Eastbound,Parking Area Heavy Rest Areas,Y,-35.109040,148.055110,N,serves the other direction (Eastbound),0,
16972,Tumblong Parking Bay Northbound,NSW,HUME HIGHWAY,COOTAMUNDRA-GUNDAGAI REGIONAL,Northbound,Other Rest Area,Y,-35.121670,148.022930,N,serves the other direction (Northbound),0,
16994,Yellow Creek Truck Parking Bay,NSW,HUME HIGHWAY,COOTAMUNDRA-GUNDAGAI REGIONAL,Eastbound,Parking Area Heavy Rest Areas,Y,-35.143020,147.962370,N,serves the other direction (Eastbound),0,
17016,Deltroit Truck Parking Bay Southbound,NSW,HUME HIGHWAY,COOTAMUNDRA-GUNDAGAI REGIONAL,Westbound,Parking Area Heavy Rest Areas,Y,-35.179610,147.826240,Y,,5,estimate: every such site is named a Truck Parking Bay; sized as Class 5
17038,Wagga Hill Rest Area,NSW,HUME HIGHWAY,COOTAMUNDRA-GUNDAGAI REGIONAL,Northbound,Class 5 Heavy Vehicle Rest Area,Y,-35.209860,147.812760,N,serves the other direction (Northbound),0,
17039,Goulburn Bypass Rest Area Northbound,NSW,OLD HUME HIGHWAY,GOULBURN MULWAREE,Eastbound,Informal Light Rest Areas,Y,-34.742080,149.766920,N,on the bypassed Old Hume Highway,0,
17160,Two Mile Rest Area,NSW,HUME HIGHWAY,YASS VALLEY,Westbound,Class 5 Heavy Vehicle Rest Area,Y,-34.766550,148.763210,Y,,5,Austroads AP-R591-19 Table 4.1 minimum
17161,Conroys Gap Rest Area Southbound,NSW,HUME HIGHWAY,YASS VALLEY,Westbound,Class 5 Heavy Vehicle Rest Area,Y,-34.776890,148.725320,Y,,5,Austroads AP-R591-19 Table 4.1 minimum
17164,Conroys Gap Rest Area Northbound,NSW,HUME HIGHWAY,YASS VALLEY,Eastbound,Class 5 Heavy Vehicle Rest Area,Y,-34.775240,148.733930,N,serves the other direction (Eastbound),0,
17200,Mungi Mungi Hill Rest Area,NSW,HUME HIGHWAY-NTH COOLAC INTERCHANGE,COOTAMUNDRA-GUNDAGAI REGIONAL,Westbound,Class 5 Heavy Vehicle Rest Area,Y,-34.888680,148.218290,Y,,5,Austroads AP-R591-19 Table 4.1 minimum
17201,Black Springs Rest Area,NSW,HUME HIGHWAY-NTH COOLAC INTERCHANGE,COOTAMUNDRA-GUNDAGAI REGIONAL,Eastbound,Class 5 Heavy Vehicle Rest Area,Y,-34.881820,148.231440,N,serves the other direction (Eastbound),0,
17204,Borella VC Rest Area,NSW,HUME HIGHWAY,GREATER HUME SHIRE,Eastbound,Class 4 Heavy Vehicle Rest Area,Y,-35.915570,147.102230,N,serves the other direction (Eastbound),0,
17208,South Gundagai Service Centre,NSW,HUME HIGHWAY-OFFLOAD RAMP-STH BND- MIDDLE ST (MR279),COOTAMUNDRA-GUNDAGAI REGIONAL,,Service Centre,Y,-35.081480,148.094610,N,no direction of travel recorded,0,
