# Charging stations from OpenStreetMap, bbox -34.15,150.6,-33.55,151.35. Chargers and power are OSM tags; price is the --price assumption. Generated by tools/fetch_real_network.py.
id,name,has_station,price_per_kwh,chargers,power_kw,latitude,longitude,osm_id,operator,merged_from
151,bp pulse #16,1,0.55,4,22.0,-33.76029,150.78170,node/13036287127;node/13346922346,bp pulse,2
152,AmpCharge #12,1,0.55,11,22.0,-33.80164,150.88782,node/13036304448;node/13613220880,AmpCharge,2
153,Station 158,1,0.55,1,22.0,-33.81454,151.10482,node/13040881589,,1
154,Chargefox #14,1,0.55,2,22.0,-33.87453,151.24216,node/13055800837,Chargefox,1
155,Evie Networks #25,1,0.55,4,22.0,-33.82458,151.19955,node/13059026685,Evie Networks,1
156,Evie Networks #26,1,0.55,4,150.0,-33.92296,151.16534,node/13064491791,Evie Networks,1
157,Evie Networks #27,1,0.55,4,22.0,-33.97584,150.81159,node/13064502527,Evie Networks,1
158,Chargefox #15,1,0.55,6,22.0,-33.96206,150.80632,node/13064517071,Chargefox,1
159,Chargefox #16,1,0.55,4,22.0,-33.71981,150.84257,node/13064521073,Chargefox,1
160,Chargefox #17,1,0.55,2,22.0,-33.93527,151.06929,node/13064595558,Chargefox,1
161,Evie Networks #28,1,0.55,2,22.0,-33.83264,151.12772,node/13073547942,Evie Networks,1
162,Exploren #7,1,0.55,2,22.0,-33.90543,151.19356,node/13073609605,Exploren,1
163,Alexandria Supercharger,1,0.55,6,22.0,-33.91287,151.19359,node/13073638889,Tesla,1
164,Exploren #8,1,0.55,2,22.0,-33.82098,151.12136,node/13073647400,Exploren,1
165,Exploren #9,1,0.55,1,22.0,-34.04937,150.75930,node/13076752054,Exploren,1
166,bp pulse #17,1,0.55,2,22.0,-33.82463,151.17268,node/13103099620,bp pulse,1
167,bp pulse #18,1,0.55,4,22.0,-34.03288,151.12486,node/13103102258,bp pulse,1
168,AmpCharge #13,1,0.55,2,22.0,-34.08425,150.80186,node/13125814415,AmpCharge,1
169,Exploren #10,1,0.55,4,22.0,-34.02031,150.76233,node/13135189454,Exploren,1
170,Jolt #33,1,0.55,1,22.0,-33.71372,151.29713,node/13139855775,Jolt,1
171,Station 176,1,0.55,1,22.0,-33.73109,151.30096,node/13139953507,,1
172,Station 177,1,0.55,1,22.0,-33.83112,151.24367,node/13149077271,,1
173,Waterloo Supercharger,1,0.55,8,22.0,-33.89773,151.21360,node/13167181353,Tesla,1
